scheme,beta,hour,offer_MW
one-price,0.6,23,0.0
two-price,0.6,0,0.0
two-price,0.6,1,500.0
two-price,0.6,2,367.1329640709075
two-price,0.6,3,376.182107748964
two-price,0.6,4,383.088505299735
two-price,0.6,5,0.0
two-price,0.6,6,286.9958356270745
two-price,0.6,7,307.16429165731154
two-price,0.6,8,378.4956893612635
two-price,0.6,9,380.4047495180185
two-price,0.6,10,384.544799084985
two-price,0.6,11,382.707235863942
two-price,0.6,12,353.57177723163153
two-price,0.6,13,378.358955968673
two-price,0.6,14,367.020072739996
two-price,0.6,15,353.08077126222946
two-price,0.6,16,363.77451186320195
two-price,0.6,17,339.1913138579885
two-price,0.6,18,314.9629713019695
two-price,0.6,19,369.863919220803
two-price,0.6,20,372.9541054503655
two-price,0.6,21,390.175681252802
two-price,0.6,22,378.155700885221
two-price,0.6,23,341.829572161787
one-price,0.8,0,0.0
one-price,0.8,1,500.0
one-price,0.8,2,500.0
one-price,0.8,3,500.0
one-price,0.8,4,500.0
one-price,0.8,5,0.0
one-price,0.8,6,0.0
one-price,0.8,7,0.0
one-price,0.8,8,500.0
one-price,0.8,9,500.0
one-price,0.8,10,500.0
one-price,0.8,11,500.0
one-price,0.8,12,0.0
one-price,0.8,13,500.0
one-price,0.8,14,0.0
one-price,0.8,15,0.0
one-price,0.8,16,0.0
one-price,0.8,17,0.0
one-price,0.8,18,0.0
one-price,0.8,19,0.0
one-price,0.8,20,0.0
one-price,0.8,21,500.0
one-price,0.8,22,500.0
one-price,0.8,23,0.0
two-price,0.8,0,0.0
two-price,0.8,1,500.0
two-price,0.8,2,367.1329640709075
two-price,0.8,3,376.182107748964
two-price,0.8,4,370.955121460191
two-price,0.8,5,0.0
two-price,0.8,6,0.0
two-price,0.8,7,307.16429165731154
two-price,0.8,8,378.4956893612635
two-price,0.8,9,380.4047495180185
two-price,0.8,10,383.3519453188275
two-price,0.8,11,378.8105817407175
two-price,0.8,12,353.5358632338415
two-price,0.8,13,376.710833586197
two-price,0.8,14,358.623941197864
two-price,0.8,15,352.0909700300595
two-price,0.8,16,362.3993255753395
two-price,0.8,17,339.1913138579885
two-price,0.8,18,314.9629713019695
two-price,0.8,19,369.863919220803
two-price,0.8,20,372.9541054503655
two-price,0.8,21,386.9666218431475
two-price,0.8,22,375.3070695172405
two-price,0.8,23,341.829572161787
one-price,0.95,0,0.0
one-price,0.95,1,500.0
one-price,0.95,2,500.0
one-price,0.95,3,500.0
one-price,0.95,4,500.0
one-price,0.95,5,0.0
one-price,0.95,6,0.0
one-price,0.95,7,0.0
one-price,0.95,8,500.0
one-price,0.95,9,500.0
one-price,0.95,10,500.0
one-price,0.95,11,500.0
one-price,0.95,12,0.0
one-price,0.95,13,500.0
one-price,0.95,14,0.0
one-price,0.95,15,0.0
one-price,0.95,16,0.0
one-price,0.95,17,0.0
one-price,0.95,18,0.0
one-price,0.95,19,0.0
one-price,0.95,20,0.0
one-price,0.95,21,500.0
one-price,0.95,22,500.0
one-price,0.95,23,0.0
two-price,0.95,0,0.0
two-price,0.95,1,500.0
two-price,0.95,2,365.073969366627
two-price,0.95,3,376.182107748964
two-price,0.95,4,370.955121460191
two-price,0.95,5,301.1525576459985
two-price,0.95,6,286.9958356270745
two-price,0.95,7,0.0
two-price,0.95,8,376.122067711333
two-price,0.95,9,380.4047495180185
two-price,0.95,10,381.113800954515
two-price,0.95,11,376.913803383799
two-price,0.95,12,348.2810256595165
two-price,0.95,13,367.1973673439905
two-price,0.95,14,338.421272763542
two-price,0.95,15,343.3476480088755
two-price,0.95,16,362.3993255753395
two-price,0.95,17,308.94427760141235
two-price,0.95,18,312.75552170299613
two-price,0.95,19,368.38705449842
two-price,0.95,20,372.0656411528075
two-price,0.95,21,383.4804824267255
two-price,0.95,22,373.0105589399655
two-price,0.95,23,335.068140172194
one-price,1.0,0,0.0
one-price,1.0,1,500.0
one-price,1.0,2,500.0
one-price,1.0,3,500.0
one-price,1.0,4,500.0
one-price,1.0,5,0.0
one-price,1.0,6,0.0
one-price,1.0,7,0.0
one-price,1.0,8,500.0
one-price,1.0,9,500.0
one-price,1.0,10,500.0
one-price,1.0,11,500.0
one-price,1.0,12,0.0
one-price,1.0,13,500.0
one-price,1.0,14,0.0
one-price,1.0,15,0.0
one-price,1.0,16,0.0
one-price,1.0,17,0.0
one-price,1.0,18,0.0
one-price,1.0,19,0.0
one-price,1.0,20,0.0
one-price,1.0,21,500.0
one-price,1.0,22,500.0
one-price,1.0,23,0.0
two-price,1.0,0,138.6494270417915
two-price,1.0,1,435.70647825025895
two-price,1.0,2,365.073969366627
two-price,1.0,3,373.192149812136
two-price,1.0,4,370.955121460191
two-price,1.0,5,185.16070084951653
two-price,1.0,6,286.9958356270745
two-price,1.0,7,248.06101689221595
two-price,1.0,8,376.122067711333
two-price,1.0,9,380.4047495180185
two-price,1.0,10,381.113800954515
two-price,1.0,11,374.159005057251
two-price,1.0,12,348.2810256595165
two-price,1.0,13,344.6040301143825
two-price,1.0,14,336.00869508491496
two-price,1.0,15,343.3476480088755
two-price,1.0,16,362.3993255753395
two-price,1.0,17,300.8579996322611
two-price,1.0,18,309.0711538581068
two-price,1.0,19,368.38705449842
two-price,1.0,20,372.0656411528075
two-price,1.0,21,383.4804824267255
two-price,1.0,22,373.0105589399655
two-price,1.0,23,335.068140172194
