also_x_shortfall_kw,cvar_shortfall_kw
24.88762668721799,3.6172016299283367
32.86816343091371,11.59773837362406
32.86816343091371,11.59773837362406
18.994882638219764,0.0
32.86816343091371,11.59773837362406
32.86816343091371,11.59773837362406
32.86816343091371,11.59773837362406
32.86816343091371,11.59773837362406
32.86816343091371,11.59773837362406
32.86816343091371,11.59773837362406
7.474643969052238,0.0
32.86816343091371,11.59773837362406
32.29644852401245,11.026023466722796
32.86816343091371,11.59773837362406
32.86816343091371,11.59773837362406
32.86816343091371,11.59773837362406
13.22748380405281,0.0
0.0,0.0
6.118826329938372,0.0
18.54449546219729,0.0
32.86816343091371,11.59773837362406
32.86816343091371,11.59773837362406
20.040078394796808,0.0
32.86816343091371,11.59773837362406
32.86816343091371,11.59773837362406
2.7412401996731717,0.0
32.86816343091371,11.59773837362406
32.86816343091371,11.59773837362406
18.059100519139264,0.0
32.86816343091371,11.59773837362406
32.86816343091371,11.59773837362406
32.86816343091371,11.59773837362406
3.5505398837659072,0.0
32.86816343091371,11.59773837362406
32.86816343091371,11.59773837362406
32.86816343091371,11.59773837362406
32.86816343091371,11.59773837362406
24.45771336693298,3.1872883096433267
32.86816343091371,11.59773837362406
