scenario,profit_eur
430,1076404.770731262
431,1060268.4587048246
432,1404356.584098218
433,1381151.0763455792
434,1391696.3057030998
435,1354936.8883474534
436,1424161.5029227352
437,1410012.6561016268
438,1430183.981230352
439,1384789.5838381874
440,801650.6720488303
441,781941.5126291524
442,786959.158163928
443,772317.6728142125
444,511563.90467938245
445,513284.09697756695
446,507532.5476051811
447,500833.22669801745
448,534359.7318999358
449,503067.15471394395
450,499871.84665719164
451,493250.5397218113
452,1227425.7726871644
453,1205145.8657172674
454,1228218.0872461866
455,1193129.866417312
456,986879.8770367476
457,982672.4062694912
458,986771.5936174497
459,964440.3623724093
460,764890.2678603954
461,737548.7115402864
462,737716.7749005681
463,723386.9412216309
464,1235546.8564553014
465,1223779.7961808546
466,1240605.0879172154
467,1201308.3369221338
468,940461.207334161
469,918532.4841113032
470,909529.7733921428
471,901624.4442150785
472,1195517.2530820076
473,1170483.5890414945
474,1168590.955204812
475,1153187.8393781255
476,1473594.3083514087
477,1451699.1788542294
478,1461969.9648748478
479,1432361.1799382092
480,514022.6940466026
481,503335.8322293351
482,504430.13581861224
483,498024.38816292584
484,973154.1689237612
485,966100.7506517163
486,986750.9949695881
487,950784.7474500759
488,1014776.6995931321
489,1004417.6369445886
490,1009414.5326104374
491,987438.913958475
492,1419368.049162726
493,1408092.772256315
494,1409316.3760360177
495,1380364.4204433442
496,1137936.6890331656
497,1126265.2143898788
498,1138310.285001441
499,1112820.7338301959
500,1191898.0629966652
501,1180488.0779417527
502,1187725.4774493915
503,1161759.3541729054
504,1137126.407906666
505,1121743.952641579
506,1130229.3170436616
507,1111348.3556591196
508,1022082.2325067958
509,1010922.5625162566
510,1009065.9604856125
511,999091.3730052395
512,1307617.242425173
513,1288870.7994829947
514,1297725.0995897953
515,1269005.190458002
516,1324580.4946109504
517,1316080.1535858489
518,1333116.170039902
519,1295267.0946871024
520,746297.2196297157
521,728661.231908007
522,733534.1323546497
523,723990.255239974
524,482508.3495996294
525,485165.2241243565
526,479005.0491740366
527,473505.60518015316
528,492385.48988684115
529,461917.4402921045
530,460569.49090598576
531,459631.4246448367
532,1140345.2570930198
533,1123635.0312313978
534,1143942.3490435355
535,1115998.3798538712
536,923166.8732824796
537,922545.9980609227
538,924932.4415844221
539,906945.783706009
540,709178.5827453558
541,683410.8374821888
542,684283.8485409745
543,674760.9419303457
544,1149884.9983168936
545,1143027.60699738
546,1157306.3683925632
547,1124537.2818671092
548,880930.215383616
549,860508.3875383798
550,852309.8887062641
551,850211.8840690088
552,1118385.4094572684
553,1095562.9005712937
554,1093377.3398149298
555,1084671.7021022737
556,1376369.1985878972
557,1358749.3461674426
558,1367146.3028410408
559,1345348.8298882958
560,430268.02692466055
561,418215.83797267324
562,428684.0245196068
563,420754.4022813266
564,849574.3124972815
565,838878.9039438497
566,868549.7884480872
567,832975.2774308686
568,878557.2062599596
569,865947.9578005706
570,883179.3531851973
571,860398.1222790594
572,1231506.2230209422
573,1216779.456595935
574,1234530.9328761422
575,1204712.8459189313
576,993443.3184159466
577,978903.9310932998
578,1004057.1322788101
579,977426.8735212376
580,1035171.1890285619
581,1021156.7504343076
582,1042646.1058468877
583,1015787.53031558
584,992664.393890979
585,975525.7803674574
586,998572.9348076903
587,977655.9579342688
588,890710.0122119626
589,877898.654379035
590,890256.3993149525
591,878089.5591266938
592,1132424.592702014
593,1111745.4575428965
594,1137219.7481434303
595,1106841.4862434128
596,1166380.79973822
597,1154606.635990046
598,1185073.3952657273
599,1147018.0688300778
600,629781.3913585185
601,611330.9993491946
602,629019.1885314368
603,616884.7177782464
604,436175.6702684084
605,437613.0068543292
606,435401.4696396209
607,429609.99935360614
608,366422.2501960085
609,335824.0845377218
610,350307.1198749493
611,345722.53449845285
612,996011.2935307126
613,977511.7702294086
614,1011304.2779811965
615,981489.0694701542
616,826978.4145327252
617,824121.3563513932
618,835747.2307386436
619,817091.8416941301
620,575730.6642285647
621,549302.3493875016
622,564981.6127908975
623,552624.719826268
624,1013664.3723441109
625,1003511.0975217284
626,1029721.3033913602
627,996774.7628038749
628,746039.4595162884
629,724971.6189357841
630,732753.5956404472
631,727446.0889067131
632,959578.2034892099
633,936807.7121843674
634,951391.2269376314
635,939047.9126010588
636,1202578.9478611175
