repetition,scheme,alpha,beta,n_in_sample,risk_adjusted_objective_in_sample_eur,full_sample_expected_profit_eur,full_sample_cvar_profit_eur,full_sample_std_profit_eur,solve_time_s,variables,constraints,mean_offer_mw,min_offer_mw,max_offer_mw,both_delta_variables_active_count
3,one-price,0.9,0.5,200,746531.4728493805,1003703.9288620896,467719.9035425892,297565.35043586494,0.001070186001015827,225,200,229.16666666666666,0.0,500.0,
3,two-price,0.9,0.5,200,681649.5544701089,916619.0846288529,425893.9573565967,272800.44134963065,0.09279945900198072,9825,5000,322.55913717620757,0.0,500.0,10.0
3,one-price,0.9,0.8,200,577999.3176278872,1001461.1761047677,466022.5924143529,297192.9573049517,0.0011077070084866136,225,200,209.32445093327655,0.0,500.0,
3,two-price,0.9,0.8,200,528129.5976117044,916436.1877299495,425869.9926067665,272660.1241970171,0.07810907199745998,9825,5000,307.9795106854513,0.0,500.0,10.0
3,one-price,0.9,1.0,200,466294.18819774484,996837.3232338466,463158.2897470437,296371.41286464874,0.0010911560093518347,225,200,200.57690907618493,0.0,500.0,
3,two-price,0.9,1.0,200,425846.55142751307,915641.1220960078,425635.80903368164,272229.09450794355,0.03060227799869608,9825,5000,297.76756195868774,0.0,408.235256192813,32.0
4,one-price,0.9,0.0,200,997823.2275501263,1003703.9288620896,467719.9035425892,297565.35043586494,0.00040833899402059615,225,200,229.16666666666666,0.0,500.0,
4,two-price,0.9,0.0,200,911479.8224065969,916824.8419863362,425679.14876317827,273261.45430078666,0.05202627199469134,9825,5000,316.9573580704658,0.0,500.0,30.0
4,one-price,0.9,0.5,200,727357.1975967659,1003703.9288620896,467719.9035425892,297565.35043586494,0.0010746250045485795,225,200,229.16666666666666,0.0,500.0,
4,two-price,0.9,0.5,200,663615.0483629256,916811.2957489064,425874.4493268935,273026.5441200449,0.08198681999056134,9825,5000,326.64893557120905,0.0,500.0,30.0
4,one-price,0.9,0.8,200,565351.0465999837,1000244.0851030272,465609.31270842406,297095.44804453506,0.0010724710009526461,225,200,250.0,0.0,500.0,
4,two-price,0.9,0.8,200,515093.537479749,916432.929939709,425960.6126346756,272514.190417973,0.0699408649961697,9825,5000,306.91764999135466,0.0,500.0,30.0
4,one-price,0.9,1.0,200,458294.82464389334,999074.7351020898,465577.46817717404,296442.56947079935,0.001088181001250632,225,200,270.8333333333333,0.0,500.0,
4,two-price,0.9,1.0,200,416181.9238138714,915520.974302069,425925.8634193473,271867.52249812754,0.035218535995227285,9825,5000,290.0704204473379,0.0,408.235256192813,52.0
5,one-price,0.9,0.0,200,1023533.8873354387,1003703.9288620896,467719.9035425892,297565.35043586494,0.00040216700290329754,225,200,229.16666666666666,0.0,500.0,
5,two-price,0.9,0.0,200,935461.9689803534,916822.9513370314,425599.902039301,273321.0767780874,0.05074859601154458,9825,5000,319.657735992817,0.0,500.0,28.0
5,one-price,0.9,0.5,200,743234.8688288694,1003703.9288620896,467719.9035425892,297565.35043586494,0.0011071159970015287,225,200,229.16666666666666,0.0,500.0,
5,two-price,0.9,0.5,200,677286.3804225615,916757.2542557174,425936.0738789827,272998.8853990935,0.08626501398975961,9825,5000,313.46416453159486,0.0,500.0,28.0
5,one-price,0.9,0.8,200,575055.457724928,1003703.9288620896,467719.9035425892,297565.35043586494,0.0010427950037410483,225,200,229.16666666666666,0.0,500.0,
5,two-price,0.9,0.8,200,522577.70344238274,916606.5197362885,425961.72845599166,272867.08110283146,0.06858114599890541,9825,5000,310.8179445801497,0.0,500.0,28.0
5,one-price,0.9,1.0,200,463259.4722054253,997688.6882402147,463117.10234991333,296887.33747807104,0.001053766012773849,225,200,208.33333333333334,0.0,500.0,
5,two-price,0.9,1.0,200,419697.74101532204,914735.4286513657,425410.5705344969,271816.8287089592,0.030897365999408066,9825,5000,293.28668854691927,0.0,398.0969175997825,44.0
