,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
wind_10,297.0150288909405,276.62782295253203,292.930706976282,347.8623226195575,388.822082433883,381.53420439518845,385.7342929024495,379.9067249530605,378.4956893612635,386.7067225058275,380.51794075794146,376.913803383799,353.57177723163153,381.1096826857945,388.5046678352825,363.36727974919603,378.53617054019,379.64750851287897,369.6860098357755,378.435263262804,385.2396182613405,390.175681252802,372.7597105574675,335.068140172194
wind_11,307.3541441479975,328.001590976934,369.8665591229095,365.46593088466153,352.73371372165553,334.6979924309605,369.64261805600603,375.4801571738855,372.57860244692546,394.25212346648505,401.787414745216,417.203778126001,420.69209695209645,387.07469429118754,397.8685089940585,396.294259810654,401.85070732517505,408.315594276796,418.523174585613,412.3644098056435,416.463882691043,405.420700910162,394.02798962922395,393.48311713893804
wind_12,378.215170524105,407.93486775013747,386.07527681139754,388.0039852935095,453.07702139950004,439.3221194294155,443.418408524451,433.71936374440503,400.4603809141495,436.735019606268,401.47910594731803,401.753951622478,388.9252537055055,383.2583639081735,447.137346643531,433.6201361969495,405.6335734779945,386.58421353717995,408.842283472408,400.1105488987375,406.23368795398903,386.9666218431475,373.0105589399655,333.9126639958065
wind_13,376.703154150258,425.154217314395,407.0275211790975,405.22109472856,383.088505299735,374.719997030667,370.3112768593545,375.4089739544585,370.06289057638804,373.38316042679946,384.544799084985,382.707235863942,334.0448727904045,369.049587369642,378.99052790181446,400.801907586922,436.3258633207115,419.11573484590696,423.05539634061853,449.62919240543,419.5719421062935,412.893355792195,421.167883726968,369.375981097801
wind_14,353.048170251434,373.07750818411,381.1054581776455,367.15847326163,370.955121460191,384.292987509958,392.538049706296,391.820312701846,382.7017497678775,370.904347039511,381.113800954515,386.3004584012985,348.2810256595165,344.6040301143825,358.623941197864,308.399860118832,296.099091901136,339.1913138579885,314.9629713019695,274.992126289539,260.7030325501895,346.421879719932,363.0123789448115,350.4086891613735
wind_15,338.7616035673175,350.6525823133955,337.1572206210015,379.4222707259395,367.205991272293,367.29537080747696,376.0870370995805,362.4032025217065,348.561635421658,356.859503080021,383.3519453188275,374.646347335063,360.58036693572546,378.358955968673,379.736117308149,379.44498161374304,395.0160770971715,403.611479657612,426.24443832881497,488.238200489139,426.181185267825,400.6379210427575,378.155700885221,356.26170666685346
wind_16,326.8520780771335,348.193423922682,373.622918785595,366.9357427209485,383.43718505527005,392.804860450589,376.491608299387,385.51201496847096,379.024636540529,375.190738565201,394.401253112691,407.030565142468,438.8434650588225,392.3993829031795,389.16219650535,389.664802115074,403.071484738469,406.1171635084555,407.883939161166,413.44521807446,425.2574907537365,472.351937953657,456.0597987430195,425.222013549287
wind_17,376.889929288505,398.0969175997825,390.0856876019925,395.694639910317,389.622688144856,385.93577180995,391.40907860143295,387.0337489806875,367.699502351838,367.440375776576,352.95216684709453,340.1081889331945,332.96120559569,371.875672190251,374.75272551226954,374.300475435306,372.427065118845,374.4106393347945,368.17199528807197,368.38705449842,357.85333092828,378.18257170522253,371.137616255515,353.425641364025
wind_18,138.6494270417915,255.8078105702245,183.620850330129,295.81851390318997,291.2853557083635,301.1525576459985,286.9958356270745,336.4706659669675,271.2152302911245,273.4344545367155,302.643422945323,230.94496931586,266.8094487645135,286.03465426226296,291.55619221319154,320.6591291784105,281.71819261652246,251.778476369804,270.668293606424,243.217115798047,242.7397793869495,358.488101287025,230.48674933747048,284.7631177500365
wind_19,328.3250127665765,348.4469355331445,365.073969366627,376.182107748964,365.5921665141465,340.9133613232685,347.455059211058,351.53305533204247,357.0146830856055,343.7447257350505,349.33782631329854,329.1679501781385,279.7812708179635,283.23562334029003,338.421272763542,331.851756567615,362.3993255753395,357.289719110233,367.00634737381097,388.95970768319546,389.8091245218395,380.370692805336,395.4398495114285,396.54891448721753
