h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
104.903125625,60.165124999999996,81.75625,79.4218740625,41.9432493625,70.63437437500001,87.4968759375,99.7624996875,64.15162415,49.2468752125,30.338624574999997,40.06250031249999,38.987500625,36.5593746875,40.1115,61.144750425,116.93749875,95.3678752125,168.6750028125,186.5250015625,160.1687478125,98.3917506375,135.0156259375,124.4875025
104.903125625,60.165124999999996,55.59425,54.00687436249999,41.9432493625,70.63437437500001,87.4968759375,99.7624996875,64.15162415,49.2468752125,30.338624574999997,27.242500212499998,26.511500424999998,24.8603747875,40.1115,89.918750625,79.51749914999999,140.2468753125,168.6750028125,126.8370010625,160.1687478125,144.6937509375,91.8106256375,84.6515017
104.903125625,60.165124999999996,55.59425,54.00687436249999,61.6812490625,70.63437437500001,87.4968759375,99.7624996875,64.15162415,72.42187531249999,30.338624574999997,27.242500212499998,38.987500625,24.8603747875,58.9875,89.918750625,116.93749875,140.2468753125,168.6750028125,126.8370010625,108.9147485125,98.3917506375,91.8106256375,84.6515017
104.903125625,60.165124999999996,55.59425,54.00687436249999,41.9432493625,70.63437437500001,87.4968759375,99.7624996875,94.34062374999999,49.2468752125,44.615624374999996,27.242500212499998,26.511500424999998,24.8603747875,58.9875,61.144750425,79.51749914999999,140.2468753125,114.6990019125,186.5250015625,108.9147485125,98.3917506375,91.8106256375,124.4875025
99.8031234375,66.1661256375,101.3843775,94.453125,57.31762415000001,93.3406259375,110.61562531250001,114.4156240625,83.08325085,49.1278747875,21.8301247875,2.4,0.08125,-0.05,-0.034,2.9707500000000002,43.587500000000006,65.6518752125,110.63750125,89.0312490625,50.45312531249999,28.4473752125,23.874999999999996,14.0468746875
99.8031234375,66.1661256375,68.94137669999999,64.22812499999999,57.31762415000001,93.3406259375,110.61562531250001,114.4156240625,83.08325085,49.1278747875,21.8301247875,1.632,0.05525,-0.034,-0.034,4.36875,29.6395,96.54687531250002,110.63750125,60.5412493625,50.45312531249999,41.8343753125,16.235,9.551874787500001
99.8031234375,66.1661256375,68.94137669999999,64.22812499999999,84.29062375000001,93.3406259375,110.61562531250001,114.4156240625,83.08325085,72.2468746875,21.8301247875,1.632,0.08125,-0.034,-0.05,4.36875,43.587500000000006,96.54687531250002,110.63750125,60.5412493625,34.308125212499995,28.4473752125,16.235,9.551874787500001
99.8031234375,66.1661256375,68.94137669999999,64.22812499999999,57.31762415000001,93.3406259375,110.61562531250001,114.4156240625,122.18125125,49.1278747875,32.1031246875,1.632,0.05525,-0.034,-0.05,2.9707500000000002,29.6395,96.54687531250002,75.23350085,89.0312490625,34.308125212499995,28.4473752125,16.235,14.0468746875
7.86875,3.48925,3.609375,1.434375,1.24525,3.6343749999999995,10.571874999999999,24.90625,5.913874999999999,1.7021249999999999,1.36,2.0,1.990625,2.009375,2.2418750000000003,40.0094997875,125.20312531249999,113.44950276249999,200.1218703125,207.09687218749997,182.07187625,108.26875,154.1937515625,144.67812312499998
7.86875,3.48925,2.454375,0.975375,1.24525,3.6343749999999995,10.571874999999999,24.90625,5.913874999999999,1.7021249999999999,1.36,1.36,1.353625,1.366375,2.2418750000000003,58.8374996875,85.13812521249999,166.8375040625,200.1218703125,140.82587308749999,182.07187625,159.21875,104.8517510625,98.381123725
7.86875,3.48925,2.454375,0.975375,1.83125,3.6343749999999995,10.571874999999999,24.90625,5.913874999999999,2.503125,1.36,1.36,1.990625,1.366375,3.296875,58.8374996875,125.20312531249999,166.8375040625,200.1218703125,140.82587308749999,123.80887584999999,108.26875,104.8517510625,98.381123725
7.86875,3.48925,2.454375,0.975375,1.24525,3.6343749999999995,10.571874999999999,24.90625,8.696874999999999,1.7021249999999999,2.0,1.36,1.353625,1.366375,3.296875,40.0094997875,85.13812521249999,166.8375040625,136.0828718125,207.09687218749997,123.80887584999999,108.26875,104.8517510625,144.67812312499998
