,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
price_10,83.9225005,70.7825,65.405,63.537499249999996,49.34499925,56.5074995,69.99750075,79.80999975,75.472499,57.93750025,35.6924995,32.05000025,31.1900005,29.24749975,47.19,71.9350005,93.549999,112.19750025,134.94000225,149.22000125,128.13499825,115.75500075,108.01250075,99.590002
price_11,79.84249875,77.84250075,81.107502,75.5625,67.432499,74.67250075,88.49250025,91.53249925,97.745001,57.79749975,25.68249975,1.92,0.065,-0.04,-0.04,3.495,34.870000000000005,77.23750025000001,88.510001,71.22499925,40.36250025,33.46750025,19.099999999999998,11.237499750000001
price_12,6.295,4.105,2.8875,1.1475,1.465,2.9074999999999998,8.4575,19.925,6.9575,2.0025,1.6,1.6,1.5925,1.6075,2.6375,47.06999975,100.16250025,133.47000325,160.09749625,165.67749775,145.657501,127.375,123.35500125,115.7424985
price_13,112.8850005,109.01249875,103.94000075,101.81500225,105.062502,109.01000024999999,111.4574985,116.64749875000001,121.8149985,116.08250025,107.46749875,103.47750099999999,104.14499875,103.3799995,105.6275005,114.17,129.9524995,138.597498,161.03750225,169.76750149999998,150.205002,137.392498,135.18000025,127.9900015
price_14,137.28500175,133.675003,124.91000175,123.47999974999999,122.130001,124.07499875,124.3475,117.77000025,109.05749875,94.7424985,87.28500175,72.19749924999999,52.96000025,36.45499975,37.3474995,62.9174995,85.4874985,116.710001,127.955002,124.71500025,99.51250075,84.7250005,76.06250175,58.63249975
price_15,30.064999999999998,23.162499999999998,17.3375,14.069999750000001,19.32250025,29.512500250000002,63.9624985,93.30749899999999,86.9449995,73.09500025,42.46749975,17.66499975,13.43,16.697499999999998,41.759999,64.444999,106.21249775000001,138.3149985,164.89999749999998,177.51750175,154.299999,125.1500035,120.34500125,99.7649995
price_16,113.66250025,105.58249875,106.42250075,106.432499,108.3199995,117.15000175,145.96749875,169.797497,152.67750375,123.93499925,105.539997,97.1100005,89.0299985,90.2749995,88.37249925,98.977499,117.81250175,160.347496,186.42499924999998,156.38249775,138.50749975000002,117.12250125,109.82500075,100.442501
price_17,89.7849995,86.70750075,85.66749949999999,86.85499949999999,88.82000175,100.0425015,130.7424965,133.592497,99.92999825,62.95250075,11.492499500000001,2.765,2.4850000000000003,3.4025,3.545,47.194998999999996,107.03500175,145.2124995,177.625,170.20000075000002,148.49250025,132.0524995,123.75749975,113.35250075
price_18,109.22500025,112.612501,113.96500025,113.75749975,117.192501,126.38750275,154.635,158.76250275,138.090002,90.9000015,56.04749925,22.125,21.65250025,17.3949995,44.8075005,85.9450005,120.344999,152.17250275,209.26750175,214.38250349999998,163.3675005,149.029999,139.54499825,132.23499875000002
price_19,143.56250025,137.95499825000002,135.63750100000001,137.47000125,138.9050025,154.512501,192.34500125,205.99250025,164.89749700000002,132.2675,100.81000125,78.4625005,65.60499975,65.6050015,87.39499875,117.147499,144.6725025,174.81999975,211.00499725,212.3149985,180.03500350000002,163.055004,151.824997,148.06750125
