combined_scenario,wind_scenario,price_scenario,imbalance_scenario,hour,wind_mw,day_ahead_price_eur_per_mwh,system_imbalance,balancing_price_eur_per_mwh,probability
46,0,11,2,11,350.9542545815975,1.92,0,1.632,0.000625
46,0,11,2,12,353.711719469256,0.065,1,0.08125,0.000625
46,0,11,2,13,352.566802429096,-0.04,0,-0.034,0.000625
46,0,11,2,14,372.39821781301305,-0.04,1,-0.05,0.000625
46,0,11,2,15,381.5275429033165,3.495,1,4.36875,0.000625
46,0,11,2,16,363.77451186320195,34.870000000000005,1,43.587500000000006,0.000625
46,0,11,2,17,347.9316625169085,77.23750025000001,1,96.54687531250002,0.000625
46,0,11,2,18,362.3763977327535,88.510001,1,110.63750125,0.000625
46,0,11,2,19,385.8736343914805,71.22499925,0,60.5412493625,0.000625
46,0,11,2,20,412.178315643747,40.36250025,0,34.308125212499995,0.000625
46,0,11,2,21,391.442716364354,33.46750025,0,28.4473752125,0.000625
46,0,11,2,22,407.54045922878953,19.099999999999998,0,16.235,0.000625
46,0,11,2,23,375.988472998675,11.237499750000001,0,9.551874787500001,0.000625
47,0,11,3,0,281.686628322303,79.84249875,1,99.8031234375,0.000625
47,0,11,3,1,278.2135076643475,77.84250075,0,66.1661256375,0.000625
47,0,11,3,2,310.032085751555,81.107502,0,68.94137669999999,0.000625
47,0,11,3,3,282.952420155072,75.5625,0,64.22812499999999,0.000625
47,0,11,3,4,331.4812886652175,67.432499,0,57.31762415000001,0.000625
47,0,11,3,5,336.023878535563,74.67250075,1,93.3406259375,0.000625
47,0,11,3,6,341.7778578450245,88.49250025,1,110.61562531250001,0.000625
47,0,11,3,7,345.3407240377235,91.53249925,1,114.4156240625,0.000625
47,0,11,3,8,353.09770497333596,97.745001,1,122.18125125,0.000625
47,0,11,3,9,327.970430008938,57.79749975,0,49.1278747875,0.000625
47,0,11,3,10,342.005770113675,25.68249975,1,32.1031246875,0.000625
47,0,11,3,11,350.9542545815975,1.92,0,1.632,0.000625
47,0,11,3,12,353.711719469256,0.065,0,0.05525,0.000625
47,0,11,3,13,352.566802429096,-0.04,0,-0.034,0.000625
47,0,11,3,14,372.39821781301305,-0.04,1,-0.05,0.000625
47,0,11,3,15,381.5275429033165,3.495,0,2.9707500000000002,0.000625
47,0,11,3,16,363.77451186320195,34.870000000000005,0,29.6395,0.000625
47,0,11,3,17,347.9316625169085,77.23750025000001,1,96.54687531250002,0.000625
47,0,11,3,18,362.3763977327535,88.510001,0,75.23350085,0.000625
47,0,11,3,19,385.8736343914805,71.22499925,1,89.0312490625,0.000625
47,0,11,3,20,412.178315643747,40.36250025,0,34.308125212499995,0.000625
47,0,11,3,21,391.442716364354,33.46750025,0,28.4473752125,0.000625
47,0,11,3,22,407.54045922878953,19.099999999999998,0,16.235,0.000625
47,0,11,3,23,375.988472998675,11.237499750000001,1,14.0468746875,0.000625
48,0,12,0,0,281.686628322303,6.295,1,7.86875,0.000625
48,0,12,0,1,278.2135076643475,4.105,0,3.48925,0.000625
48,0,12,0,2,310.032085751555,2.8875,1,3.609375,0.000625
48,0,12,0,3,282.952420155072,1.1475,1,1.434375,0.000625
48,0,12,0,4,331.4812886652175,1.465,0,1.24525,0.000625
48,0,12,0,5,336.023878535563,2.9074999999999998,1,3.6343749999999995,0.000625
48,0,12,0,6,341.7778578450245,8.4575,1,10.571874999999999,0.000625
48,0,12,0,7,345.3407240377235,19.925,1,24.90625,0.000625
48,0,12,0,8,353.09770497333596,6.9575,0,5.913874999999999,0.000625
48,0,12,0,9,327.970430008938,2.0025,0,1.7021249999999999,0.000625
48,0,12,0,10,342.005770113675,1.6,0,1.36,0.000625
48,0,12,0,11,350.9542545815975,1.6,1,2.0,0.000625
48,0,12,0,12,353.711719469256,1.5925,1,1.990625,0.000625
48,0,12,0,13,352.566802429096,1.6075,1,2.009375,0.000625
48,0,12,0,14,372.39821781301305,2.6375,0,2.2418750000000003,0.000625
48,0,12,0,15,381.5275429033165,47.06999975,0,40.0094997875,0.000625
48,0,12,0,16,363.77451186320195,100.16250025,1,125.20312531249999,0.000625
48,0,12,0,17,347.9316625169085,133.47000325,0,113.44950276249999,0.000625
48,0,12,0,18,362.3763977327535,160.09749625,1,200.1218703125,0.000625
48,0,12,0,19,385.8736343914805,165.67749775,1,207.09687218749997,0.000625
48,0,12,0,20,412.178315643747,145.657501,1,182.07187625,0.000625
48,0,12,0,21,391.442716364354,127.375,0,108.26875,0.000625
48,0,12,0,22,407.54045922878953,123.35500125,1,154.1937515625,0.000625
48,0,12,0,23,375.988472998675,115.7424985,1,144.67812312499998,0.000625
49,0,12,1,0,281.686628322303,6.295,1,7.86875,0.000625
49,0,12,1,1,278.2135076643475,4.105,0,3.48925,0.000625
49,0,12,1,2,310.032085751555,2.8875,0,2.454375,0.000625
49,0,12,1,3,282.952420155072,1.1475,0,0.975375,0.000625
49,0,12,1,4,331.4812886652175,1.465,0,1.24525,0.000625
49,0,12,1,5,336.023878535563,2.9074999999999998,1,3.6343749999999995,0.000625
49,0,12,1,6,341.7778578450245,8.4575,1,10.571874999999999,0.000625
49,0,12,1,7,345.3407240377235,19.925,1,24.90625,0.000625
49,0,12,1,8,353.09770497333596,6.9575,0,5.913874999999999,0.000625
49,0,12,1,9,327.970430008938,2.0025,0,1.7021249999999999,0.000625
49,0,12,1,10,342.005770113675,1.6,0,1.36,0.000625
49,0,12,1,11,350.9542545815975,1.6,0,1.36,0.000625
49,0,12,1,12,353.711719469256,1.5925,0,1.353625,0.000625
49,0,12,1,13,352.566802429096,1.6075,0,1.366375,0.000625
49,0,12,1,14,372.39821781301305,2.6375,0,2.2418750000000003,0.000625
49,0,12,1,15,381.5275429033165,47.06999975,1,58.8374996875,0.000625
49,0,12,1,16,363.77451186320195,100.16250025,0,85.13812521249999,0.000625
49,0,12,1,17,347.9316625169085,133.47000325,1,166.8375040625,0.000625
49,0,12,1,18,362.3763977327535,160.09749625,1,200.1218703125,0.000625
49,0,12,1,19,385.8736343914805,165.67749775,0,140.82587308749999,0.000625
49,0,12,1,20,412.178315643747,145.657501,1,182.07187625,0.000625
49,0,12,1,21,391.442716364354,127.375,1,159.21875,0.000625
49,0,12,1,22,407.54045922878953,123.35500125,0,104.8517510625,0.000625
49,0,12,1,23,375.988472998675,115.7424985,0,98.381123725,0.000625
50,0,12,2,0,281.686628322303,6.295,1,7.86875,0.000625
50,0,12,2,1,278.2135076643475,4.105,0,3.48925,0.000625
50,0,12,2,2,310.032085751555,2.8875,0,2.454375,0.000625
50,0,12,2,3,282.952420155072,1.1475,0,0.975375,0.000625
50,0,12,2,4,331.4812886652175,1.465,1,1.83125,0.000625
50,0,12,2,5,336.023878535563,2.9074999999999998,1,3.6343749999999995,0.000625
50,0,12,2,6,341.7778578450245,8.4575,1,10.571874999999999,0.000625
50,0,12,2,7,345.3407240377235,19.925,1,24.90625,0.000625
50,0,12,2,8,353.09770497333596,6.9575,0,5.913874999999999,0.000625
50,0,12,2,9,327.970430008938,2.0025,1,2.503125,0.000625
50,0,12,2,10,342.005770113675,1.6,0,1.36,0.000625
50,0,12,2,11,350.9542545815975,1.6,0,1.36,0.000625
50,0,12,2,12,353.711719469256,1.5925,1,1.990625,0.000625
50,0,12,2,13,352.566802429096,1.6075,0,1.366375,0.000625
50,0,12,2,14,372.39821781301305,2.6375,1,3.296875,0.000625
50,0,12,2,15,381.5275429033165,47.06999975,1,58.8374996875,0.000625
50,0,12,2,16,363.77451186320195,100.16250025,1,125.20312531249999,0.000625
50,0,12,2,17,347.9316625169085,133.47000325,1,166.8375040625,0.000625
50,0,12,2,18,362.3763977327535,160.09749625,1,200.1218703125,0.000625
50,0,12,2,19,385.8736343914805,165.67749775,0,140.82587308749999,0.000625
50,0,12,2,20,412.178315643747,145.657501,0,123.80887584999999,0.000625
50,0,12,2,21,391.442716364354,127.375,0,108.26875,0.000625
50,0,12,2,22,407.54045922878953,123.35500125,0,104.8517510625,0.000625
50,0,12,2,23,375.988472998675,115.7424985,0,98.381123725,0.000625
51,0,12,3,0,281.686628322303,6.295,1,7.86875,0.000625
51,0,12,3,1,278.2135076643475,4.105,0,3.48925,0.000625
51,0,12,3,2,310.032085751555,2.8875,0,2.454375,0.000625
51,0,12,3,3,282.952420155072,1.1475,0,0.975375,0.000625
51,0,12,3,4,331.4812886652175,1.465,0,1.24525,0.000625
51,0,12,3,5,336.023878535563,2.9074999999999998,1,3.6343749999999995,0.000625
51,0,12,3,6,341.7778578450245,8.4575,1,10.571874999999999,0.000625
51,0,12,3,7,345.3407240377235,19.925,1,24.90625,0.000625
51,0,12,3,8,353.09770497333596,6.9575,1,8.696874999999999,0.000625
51,0,12,3,9,327.970430008938,2.0025,0,1.7021249999999999,0.000625
51,0,12,3,10,342.005770113675,1.6,1,2.0,0.000625
51,0,12,3,11,350.9542545815975,1.6,0,1.36,0.000625
51,0,12,3,12,353.711719469256,1.5925,0,1.353625,0.000625
51,0,12,3,13,352.566802429096,1.6075,0,1.366375,0.000625
51,0,12,3,14,372.39821781301305,2.6375,1,3.296875,0.000625
51,0,12,3,15,381.5275429033165,47.06999975,0,40.0094997875,0.000625
51,0,12,3,16,363.77451186320195,100.16250025,0,85.13812521249999,0.000625
51,0,12,3,17,347.9316625169085,133.47000325,1,166.8375040625,0.000625
51,0,12,3,18,362.3763977327535,160.09749625,0,136.0828718125,0.000625
51,0,12,3,19,385.8736343914805,165.67749775,1,207.09687218749997,0.000625
51,0,12,3,20,412.178315643747,145.657501,0,123.80887584999999,0.000625
51,0,12,3,21,391.442716364354,127.375,0,108.26875,0.000625
51,0,12,3,22,407.54045922878953,123.35500125,0,104.8517510625,0.000625
51,0,12,3,23,375.988472998675,115.7424985,1,144.67812312499998,0.000625
52,0,13,0,0,281.686628322303,112.8850005,1,141.106250625,0.000625
52,0,13,0,1,278.2135076643475,109.01249875,0,92.6606239375,0.000625
52,0,13,0,2,310.032085751555,103.94000075,1,129.9250009375,0.000625
52,0,13,0,3,282.952420155072,101.81500225,1,127.26875281250001,0.000625
52,0,13,0,4,331.4812886652175,105.062502,0,89.30312669999999,0.000625
52,0,13,0,5,336.023878535563,109.01000024999999,1,136.26250031249998,0.000625
